# GENERATED by ./gradlew generateBedrockConstants. Do not edit.
#
# Bedrock's internal short name for a vanilla item, and Java's translation key for it.
# The whole key, because a block's item form is `block.minecraft.` in Java and
# everything else `item.minecraft.`, and that is not derivable from the path.
# Joined on the English display name and kept only where that name is unique in BOTH
# games; a hand-written answer in spec/upstream/vanilla-names.manual.yaml overrides.
#
# No upstream content is reproduced here - an id beside an id is a fact about two
# games, not Mojang's data. Constitution rule 10, spec/upstream/fetch.md.
glow_lichen	block.minecraft.glow_lichen
glowstone	block.minecraft.glowstone
glowstone_dust	item.minecraft.glowstone_dust
goat_horn	item.minecraft.goat_horn
gold_block	block.minecraft.gold_block
gold_ingot	item.minecraft.gold_ingot
gold_nugget	item.minecraft.gold_nugget
gold_ore	block.minecraft.gold_ore
golden_apple	item.minecraft.golden_apple
golden_axe	item.minecraft.golden_axe
golden_boots	item.minecraft.golden_boots
golden_carrot	item.minecraft.golden_carrot
golden_chestplate	item.minecraft.golden_chestplate
golden_dandelion	block.minecraft.golden_dandelion
golden_helmet	item.minecraft.golden_helmet
golden_hoe	item.minecraft.golden_hoe
golden_leggings	item.minecraft.golden_leggings
golden_nautilus_armor	item.minecraft.golden_nautilus_armor
golden_pickaxe	item.minecraft.golden_pickaxe
golden_rail	block.minecraft.powered_rail
golden_shovel	item.minecraft.golden_shovel
golden_spear	item.minecraft.golden_spear
golden_sword	item.minecraft.golden_sword
granite_stairs	block.minecraft.granite_stairs
grass	block.minecraft.grass_block
grass_path	block.minecraft.dirt_path
gravel	block.minecraft.gravel
gray_candle	block.minecraft.gray_candle
gray_candle_cake	block.minecraft.gray_candle_cake
gray_harness	item.minecraft.gray_harness
green_candle	block.minecraft.green_candle
green_candle_cake	block.minecraft.green_candle_cake
green_harness	item.minecraft.green_harness
grindstone	block.minecraft.grindstone
gunpowder	item.minecraft.gunpowder
guster_pottery_sherd	item.minecraft.guster_pottery_sherd
hanging_roots	block.minecraft.hanging_roots
hay_block	block.minecraft.hay_block
heart_of_the_sea	item.minecraft.heart_of_the_sea
heart_pottery_sherd	item.minecraft.heart_pottery_sherd
heartbreak_pottery_sherd	item.minecraft.heartbreak_pottery_sherd
heavy_core	block.minecraft.heavy_core
heavy_weighted_pressure_plate	block.minecraft.heavy_weighted_pressure_plate
honey_block	block.minecraft.honey_block
honey_bottle	item.minecraft.honey_bottle
honeycomb	item.minecraft.honeycomb
honeycomb_block	block.minecraft.honeycomb_block
hopper	block.minecraft.hopper
hopper_minecart	item.minecraft.hopper_minecart
horn_coral_wall_fan	block.minecraft.horn_coral_wall_fan
horsearmordiamond	item.minecraft.diamond_horse_armor
horsearmorgold	item.minecraft.golden_horse_armor
horsearmoriron	item.minecraft.iron_horse_armor
horsearmorleather	item.minecraft.leather_horse_armor
howl_pottery_sherd	item.minecraft.howl_pottery_sherd
ice	block.minecraft.ice
infested_deepslate	block.minecraft.infested_deepslate
iron_axe	item.minecraft.iron_axe
iron_bars	block.minecraft.iron_bars
iron_block	block.minecraft.iron_block
iron_boots	item.minecraft.iron_boots
iron_chain	block.minecraft.iron_chain
iron_chestplate	item.minecraft.iron_chestplate
iron_door	block.minecraft.iron_door
iron_helmet	item.minecraft.iron_helmet
iron_hoe	item.minecraft.iron_hoe
iron_ingot	item.minecraft.iron_ingot
iron_leggings	item.minecraft.iron_leggings
iron_nautilus_armor	item.minecraft.iron_nautilus_armor
iron_nugget	item.minecraft.iron_nugget
iron_ore	block.minecraft.iron_ore
iron_pickaxe	item.minecraft.iron_pickaxe
iron_shovel	item.minecraft.iron_shovel
iron_spear	item.minecraft.iron_spear
iron_sword	item.minecraft.iron_sword
iron_trapdoor	block.minecraft.iron_trapdoor
jigsaw	block.minecraft.jigsaw
jukebox	block.minecraft.jukebox
jungleFence	block.minecraft.jungle_fence
jungle_button	block.minecraft.jungle_button
jungle_door	block.minecraft.jungle_door
jungle_fence_gate	block.minecraft.jungle_fence_gate
jungle_hanging_sign	block.minecraft.jungle_hanging_sign
jungle_pressure_plate	block.minecraft.jungle_pressure_plate
jungle_shelf	block.minecraft.jungle_shelf
jungle_stairs	block.minecraft.jungle_stairs
jungle_trapdoor	block.minecraft.jungle_trapdoor
jungle_wall_sign	block.minecraft.jungle_wall_sign
kelp	block.minecraft.kelp
ladder	block.minecraft.ladder
lantern	block.minecraft.lantern
lapis_block	block.minecraft.lapis_block
lapis_ore	block.minecraft.lapis_ore
large_amethyst_bud	block.minecraft.large_amethyst_bud
lead	item.minecraft.lead
leaf_litter	block.minecraft.leaf_litter
leather	item.minecraft.leather
leather_boots	item.minecraft.leather_boots
leather_chestplate	item.minecraft.leather_chestplate
leather_helmet	item.minecraft.leather_helmet
leather_leggings	item.minecraft.leather_leggings
leaves.birch	block.minecraft.birch_leaves
leaves.jungle	block.minecraft.jungle_leaves
leaves.oak	block.minecraft.oak_leaves
leaves.spruce	block.minecraft.spruce_leaves
lectern	block.minecraft.lectern
lever	block.minecraft.lever
light_block	block.minecraft.light
light_blue_candle	block.minecraft.light_blue_candle
light_blue_candle_cake	block.minecraft.light_blue_candle_cake
light_blue_harness	item.minecraft.light_blue_harness
light_gray_candle	block.minecraft.light_gray_candle
light_gray_candle_cake	block.minecraft.light_gray_candle_cake
light_gray_harness	item.minecraft.light_gray_harness
light_weighted_pressure_plate	block.minecraft.light_weighted_pressure_plate
lightning_rod	block.minecraft.lightning_rod
lime_candle	block.minecraft.lime_candle
lime_candle_cake	block.minecraft.lime_candle_cake
lime_harness	item.minecraft.lime_harness
lit_pumpkin	block.minecraft.jack_o_lantern
lodestone	block.minecraft.lodestone
lodestonecompass	item.minecraft.lodestone_compass
log.acacia	block.minecraft.acacia_log
log.big_oak	block.minecraft.dark_oak_log
log.birch	block.minecraft.birch_log
log.jungle	block.minecraft.jungle_log
log.oak	block.minecraft.oak_log
log.spruce	block.minecraft.spruce_log
loom	block.minecraft.loom
mace	item.minecraft.mace
magenta_candle	block.minecraft.magenta_candle
magenta_candle_cake	block.minecraft.magenta_candle_cake
magenta_harness	item.minecraft.magenta_harness
magma	block.minecraft.magma_block
magma_cream	item.minecraft.magma_cream
mangrove_button	block.minecraft.mangrove_button
mangrove_door	block.minecraft.mangrove_door
mangrove_fence	block.minecraft.mangrove_fence
mangrove_fence_gate	block.minecraft.mangrove_fence_gate
mangrove_hanging_sign	block.minecraft.mangrove_hanging_sign
mangrove_leaves	block.minecraft.mangrove_leaves
mangrove_log	block.minecraft.mangrove_log
mangrove_planks	block.minecraft.mangrove_planks
mangrove_pressure_plate	block.minecraft.mangrove_pressure_plate
mangrove_propagule	block.minecraft.mangrove_propagule
mangrove_roots	block.minecraft.mangrove_roots
mangrove_shelf	block.minecraft.mangrove_shelf
mangrove_slab	block.minecraft.mangrove_slab
mangrove_stairs	block.minecraft.mangrove_stairs
mangrove_trapdoor	block.minecraft.mangrove_trapdoor
mangrove_wall_sign	block.minecraft.mangrove_wall_sign
mangrove_wood	block.minecraft.mangrove_wood
map	item.minecraft.filled_map
medium_amethyst_bud	block.minecraft.medium_amethyst_bud
melon	item.minecraft.melon_slice
melon_block	block.minecraft.melon
melon_seeds	item.minecraft.melon_seeds
melon_stem	block.minecraft.melon_stem
milk	item.minecraft.milk_bucket
minecart	item.minecraft.minecart
minecartFurnace	item.minecraft.furnace_minecart
miner_pottery_sherd	item.minecraft.miner_pottery_sherd
mob_spawner	block.minecraft.spawner
monster_egg.brick	block.minecraft.infested_stone_bricks
monster_egg.cobble	block.minecraft.infested_cobblestone
moss_block	block.minecraft.moss_block
moss_carpet	block.minecraft.moss_carpet
mossy_cobblestone	block.minecraft.mossy_cobblestone
mossy_cobblestone_stairs	block.minecraft.mossy_cobblestone_stairs
mossy_stone_brick_stairs	block.minecraft.mossy_stone_brick_stairs
mourner_pottery_sherd	item.minecraft.mourner_pottery_sherd
mud	block.minecraft.mud
mud_brick_slab	block.minecraft.mud_brick_slab
mud_brick_stairs	block.minecraft.mud_brick_stairs
mud_brick_wall	block.minecraft.mud_brick_wall
mud_bricks	block.minecraft.mud_bricks
muddy_mangrove_roots	block.minecraft.muddy_mangrove_roots
mushroom_stew	item.minecraft.mushroom_stew
muttonCooked	item.minecraft.cooked_mutton
muttonRaw	item.minecraft.mutton
mycelium	block.minecraft.mycelium
name_tag	item.minecraft.name_tag
nautilus_shell	item.minecraft.nautilus_shell
netherStar	item.minecraft.nether_star
nether_brick	block.minecraft.nether_bricks
nether_brick_fence	block.minecraft.nether_brick_fence
nether_brick_stairs	block.minecraft.nether_brick_stairs
nether_gold_ore	block.minecraft.nether_gold_ore
nether_sprouts	block.minecraft.nether_sprouts
nether_wart_block	block.minecraft.nether_wart_block
netherbrick	item.minecraft.nether_brick
netherite_axe	item.minecraft.netherite_axe
netherite_block	block.minecraft.netherite_block
netherite_boots	item.minecraft.netherite_boots
netherite_chestplate	item.minecraft.netherite_chestplate
netherite_helmet	item.minecraft.netherite_helmet
netherite_hoe	item.minecraft.netherite_hoe
netherite_horse_armor	item.minecraft.netherite_horse_armor
netherite_ingot	item.minecraft.netherite_ingot
netherite_leggings	item.minecraft.netherite_leggings
netherite_nautilus_armor	item.minecraft.netherite_nautilus_armor
netherite_pickaxe	item.minecraft.netherite_pickaxe
netherite_scrap	item.minecraft.netherite_scrap
netherite_shovel	item.minecraft.netherite_shovel
netherite_spear	item.minecraft.netherite_spear
netherite_sword	item.minecraft.netherite_sword
netherrack	block.minecraft.netherrack
normal_stone_stairs	block.minecraft.stone_stairs
noteblock	block.minecraft.note_block
oak_hanging_sign	block.minecraft.oak_hanging_sign
oak_shelf	block.minecraft.oak_shelf
oak_stairs	block.minecraft.oak_stairs
observer	block.minecraft.observer
obsidian	block.minecraft.obsidian
ochre_froglight	block.minecraft.ochre_froglight
ominous_bottle	item.minecraft.ominous_bottle
ominous_trial_key	item.minecraft.ominous_trial_key
open_eyeblossom	block.minecraft.open_eyeblossom
orange_candle	block.minecraft.orange_candle
orange_candle_cake	block.minecraft.orange_candle_cake
orange_harness	item.minecraft.orange_harness
oxidized_chiseled_copper	block.minecraft.oxidized_chiseled_copper
oxidized_copper	block.minecraft.oxidized_copper
oxidized_copper_bars	block.minecraft.oxidized_copper_bars
oxidized_copper_bulb	block.minecraft.oxidized_copper_bulb
oxidized_copper_chain	block.minecraft.oxidized_copper_chain
oxidized_copper_chest	block.minecraft.oxidized_copper_chest
oxidized_copper_door	block.minecraft.oxidized_copper_door
oxidized_copper_golem_statue	block.minecraft.oxidized_copper_golem_statue
oxidized_copper_grate	block.minecraft.oxidized_copper_grate
oxidized_copper_lantern	block.minecraft.oxidized_copper_lantern
oxidized_copper_trapdoor	block.minecraft.oxidized_copper_trapdoor
oxidized_cut_copper	block.minecraft.oxidized_cut_copper
oxidized_cut_copper_slab	block.minecraft.oxidized_cut_copper_slab
oxidized_cut_copper_stairs	block.minecraft.oxidized_cut_copper_stairs
oxidized_lightning_rod	block.minecraft.oxidized_lightning_rod
packed_ice	block.minecraft.packed_ice
packed_mud	block.minecraft.packed_mud
painting	item.minecraft.painting
pale_hanging_moss	block.minecraft.pale_hanging_moss
pale_moss_block	block.minecraft.pale_moss_block
pale_moss_carpet	block.minecraft.pale_moss_carpet
pale_oak_button	block.minecraft.pale_oak_button
pale_oak_door	block.minecraft.pale_oak_door
pale_oak_fence	block.minecraft.pale_oak_fence
pale_oak_fence_gate	block.minecraft.pale_oak_fence_gate
pale_oak_hanging_sign	block.minecraft.pale_oak_hanging_sign
pale_oak_leaves	block.minecraft.pale_oak_leaves
pale_oak_log	block.minecraft.pale_oak_log
pale_oak_planks	block.minecraft.pale_oak_planks
pale_oak_pressure_plate	block.minecraft.pale_oak_pressure_plate
pale_oak_sapling	block.minecraft.pale_oak_sapling
pale_oak_shelf	block.minecraft.pale_oak_shelf
pale_oak_slab	block.minecraft.pale_oak_slab
pale_oak_stairs	block.minecraft.pale_oak_stairs
pale_oak_trapdoor	block.minecraft.pale_oak_trapdoor
pale_oak_wall_sign	block.minecraft.pale_oak_wall_sign
pale_oak_wood	block.minecraft.pale_oak_wood
paper	item.minecraft.paper
pearlescent_froglight	block.minecraft.pearlescent_froglight
phantom_membrane	item.minecraft.phantom_membrane
pink_candle	block.minecraft.pink_candle
pink_candle_cake	block.minecraft.pink_candle_cake
pink_harness	item.minecraft.pink_harness
pink_petals	block.minecraft.pink_petals
piston	block.minecraft.piston
pitcher_crop	block.minecraft.pitcher_crop
pitcher_pod	item.minecraft.pitcher_pod
planks.acacia	block.minecraft.acacia_planks
planks.big_oak	block.minecraft.dark_oak_planks
planks.birch	block.minecraft.birch_planks
planks.jungle	block.minecraft.jungle_planks
planks.oak	block.minecraft.oak_planks
planks.spruce	block.minecraft.spruce_planks
plenty_pottery_sherd	item.minecraft.plenty_pottery_sherd
podzol	block.minecraft.podzol
pointed_dripstone	block.minecraft.pointed_dripstone
poisonous_potato	item.minecraft.poisonous_potato
polished_andesite_stairs	block.minecraft.polished_andesite_stairs
polished_basalt	block.minecraft.polished_basalt
polished_blackstone	block.minecraft.polished_blackstone
polished_blackstone_brick_slab	block.minecraft.polished_blackstone_brick_slab
polished_blackstone_brick_stairs	block.minecraft.polished_blackstone_brick_stairs
polished_blackstone_brick_wall	block.minecraft.polished_blackstone_brick_wall
polished_blackstone_bricks	block.minecraft.polished_blackstone_bricks
polished_blackstone_button	block.minecraft.polished_blackstone_button
polished_blackstone_pressure_plate	block.minecraft.polished_blackstone_pressure_plate
polished_blackstone_slab	block.minecraft.polished_blackstone_slab
polished_blackstone_stairs	block.minecraft.polished_blackstone_stairs
polished_blackstone_wall	block.minecraft.polished_blackstone_wall
polished_cinnabar	block.minecraft.polished_cinnabar
polished_cinnabar_slab	block.minecraft.polished_cinnabar_slab
polished_cinnabar_stairs	block.minecraft.polished_cinnabar_stairs
polished_cinnabar_wall	block.minecraft.polished_cinnabar_wall
polished_deepslate	block.minecraft.polished_deepslate
polished_deepslate_slab	block.minecraft.polished_deepslate_slab
polished_deepslate_stairs	block.minecraft.polished_deepslate_stairs
polished_deepslate_wall	block.minecraft.polished_deepslate_wall
polished_diorite_stairs	block.minecraft.polished_diorite_stairs
polished_granite_stairs	block.minecraft.polished_granite_stairs
polished_sulfur	block.minecraft.polished_sulfur
polished_sulfur_slab	block.minecraft.polished_sulfur_slab
polished_sulfur_stairs	block.minecraft.polished_sulfur_stairs
polished_sulfur_wall	block.minecraft.polished_sulfur_wall
polished_tuff	block.minecraft.polished_tuff
polished_tuff_slab	block.minecraft.polished_tuff_slab
polished_tuff_stairs	block.minecraft.polished_tuff_stairs
polished_tuff_wall	block.minecraft.polished_tuff_wall
porkchop	item.minecraft.porkchop
potato	item.minecraft.potato
potatoes	block.minecraft.potatoes
potent_sulfur	block.minecraft.potent_sulfur
powder_snow	block.minecraft.powder_snow
prismarine.bricks	block.minecraft.prismarine_bricks
prismarine.dark	block.minecraft.dark_prismarine
prismarine.rough	block.minecraft.prismarine
prismarine_bricks_stairs	block.minecraft.prismarine_brick_stairs
prismarine_crystals	item.minecraft.prismarine_crystals
prismarine_shard	item.minecraft.prismarine_shard
prismarine_stairs	block.minecraft.prismarine_stairs
prize_pottery_sherd	item.minecraft.prize_pottery_sherd
pufferfish	item.minecraft.pufferfish
pumpkin	block.minecraft.pumpkin
pumpkin_pie	item.minecraft.pumpkin_pie
pumpkin_seeds	item.minecraft.pumpkin_seeds
pumpkin_stem	block.minecraft.pumpkin_stem
purple_candle	block.minecraft.purple_candle
purple_candle_cake	block.minecraft.purple_candle_cake
purple_harness	item.minecraft.purple_harness
purpur_block.default	block.minecraft.purpur_block
purpur_block.lines	block.minecraft.purpur_pillar
purpur_stairs	block.minecraft.purpur_stairs
quartz	item.minecraft.quartz
quartz_block.chiseled	block.minecraft.chiseled_quartz_block
quartz_block.lines	block.minecraft.quartz_pillar
quartz_block.smooth	block.minecraft.smooth_quartz
quartz_bricks	block.minecraft.quartz_bricks
quartz_ore	block.minecraft.nether_quartz_ore
quartz_stairs	block.minecraft.quartz_stairs
rabbit	item.minecraft.rabbit
rabbit_foot	item.minecraft.rabbit_foot
rabbit_hide	item.minecraft.rabbit_hide
rabbit_stew	item.minecraft.rabbit_stew
rail	block.minecraft.rail
raw_copper	item.minecraft.raw_copper
raw_copper_block	block.minecraft.raw_copper_block
raw_gold	item.minecraft.raw_gold
raw_gold_block	block.minecraft.raw_gold_block
raw_iron	item.minecraft.raw_iron
raw_iron_block	block.minecraft.raw_iron_block
recovery_compass	item.minecraft.recovery_compass
red_candle	block.minecraft.red_candle
red_candle_cake	block.minecraft.red_candle_cake
red_flower.allium	block.minecraft.allium
red_flower.blueOrchid	block.minecraft.blue_orchid
red_flower.cornflower	block.minecraft.cornflower
red_flower.houstonia	block.minecraft.azure_bluet
red_flower.lilyOfTheValley	block.minecraft.lily_of_the_valley
red_flower.oxeyeDaisy	block.minecraft.oxeye_daisy
red_flower.poppy	block.minecraft.poppy
red_flower.tulipOrange	block.minecraft.orange_tulip
red_flower.tulipPink	block.minecraft.pink_tulip
red_flower.tulipRed	block.minecraft.red_tulip
red_flower.tulipWhite	block.minecraft.white_tulip
red_harness	item.minecraft.red_harness
red_mushroom	block.minecraft.red_mushroom
red_mushroom_block	block.minecraft.red_mushroom_block
red_nether_brick	block.minecraft.red_nether_bricks
red_nether_brick_stairs	block.minecraft.red_nether_brick_stairs
red_sandstone.chiseled	block.minecraft.chiseled_red_sandstone
red_sandstone.cut	block.minecraft.cut_red_sandstone
red_sandstone.smooth	block.minecraft.smooth_red_sandstone
red_sandstone_stairs	block.minecraft.red_sandstone_stairs
redstone_block	block.minecraft.redstone_block
redstone_lamp	block.minecraft.redstone_lamp
redstone_ore	block.minecraft.redstone_ore
reeds	block.minecraft.sugar_cane
reinforced_deepslate	block.minecraft.reinforced_deepslate
repeater	block.minecraft.repeater
repeating_command_block	block.minecraft.repeating_command_block
resin_block	block.minecraft.resin_block
resin_brick	item.minecraft.resin_brick
resin_brick_slab	block.minecraft.resin_brick_slab
resin_brick_stairs	block.minecraft.resin_brick_stairs
resin_brick_wall	block.minecraft.resin_brick_wall
resin_bricks	block.minecraft.resin_bricks
respawn_anchor	block.minecraft.respawn_anchor
rotten_flesh	item.minecraft.rotten_flesh
saddle	item.minecraft.saddle
salmon	item.minecraft.salmon
sand.red	block.minecraft.red_sand
sandstone.chiseled	block.minecraft.chiseled_sandstone
sandstone.cut	block.minecraft.cut_sandstone
sandstone.smooth	block.minecraft.smooth_sandstone
sandstone_stairs	block.minecraft.sandstone_stairs
sapling.acacia	block.minecraft.acacia_sapling
sapling.big_oak	block.minecraft.dark_oak_sapling
sapling.birch	block.minecraft.birch_sapling
sapling.jungle	block.minecraft.jungle_sapling
sapling.oak	block.minecraft.oak_sapling
sapling.spruce	block.minecraft.spruce_sapling
scaffolding	block.minecraft.scaffolding
scrape_pottery_sherd	item.minecraft.scrape_pottery_sherd
sculk	block.minecraft.sculk
sculk_catalyst	block.minecraft.sculk_catalyst
sculk_sensor	block.minecraft.sculk_sensor
sculk_shrieker	block.minecraft.sculk_shrieker
sculk_vein	block.minecraft.sculk_vein
seaLantern	block.minecraft.sea_lantern
sea_pickle	block.minecraft.sea_pickle
seagrass.seagrass	block.minecraft.seagrass
sheaf_pottery_sherd	item.minecraft.sheaf_pottery_sherd
shears	item.minecraft.shears
shelter_pottery_sherd	item.minecraft.shelter_pottery_sherd
shield	item.minecraft.shield
short_dry_grass	block.minecraft.short_dry_grass
shroomlight	block.minecraft.shroomlight
shulkerBox	block.minecraft.shulker_box
shulkerBoxBlack	block.minecraft.black_shulker_box
shulkerBoxBlue	block.minecraft.blue_shulker_box
shulkerBoxBrown	block.minecraft.brown_shulker_box
shulkerBoxCyan	block.minecraft.cyan_shulker_box
shulkerBoxGray	block.minecraft.gray_shulker_box
shulkerBoxGreen	block.minecraft.green_shulker_box
shulkerBoxLightBlue	block.minecraft.light_blue_shulker_box
shulkerBoxLime	block.minecraft.lime_shulker_box
shulkerBoxMagenta	block.minecraft.magenta_shulker_box
shulkerBoxOrange	block.minecraft.orange_shulker_box
shulkerBoxPink	block.minecraft.pink_shulker_box
shulkerBoxPurple	block.minecraft.purple_shulker_box
shulkerBoxRed	block.minecraft.red_shulker_box
shulkerBoxSilver	block.minecraft.light_gray_shulker_box
shulkerBoxWhite	block.minecraft.white_shulker_box
shulkerBoxYellow	block.minecraft.yellow_shulker_box
shulker_shell	item.minecraft.shulker_shell
sign	block.minecraft.oak_sign
skull.char	block.minecraft.player_head
skull.creeper	block.minecraft.creeper_head
skull.dragon	block.minecraft.dragon_head
skull.piglin	block.minecraft.piglin_head
skull.skeleton	block.minecraft.skeleton_skull
skull.wither	block.minecraft.wither_skeleton_skull
skull.zombie	block.minecraft.zombie_head
skull_pottery_sherd	item.minecraft.skull_pottery_sherd
slime	block.minecraft.slime_block
slime_ball	item.minecraft.slime_ball
small_amethyst_bud	block.minecraft.small_amethyst_bud
small_dripleaf_block	block.minecraft.small_dripleaf
smithing_table	block.minecraft.smithing_table
smoker	block.minecraft.smoker
smooth_basalt	block.minecraft.smooth_basalt
smooth_quartz_stairs	block.minecraft.smooth_quartz_stairs
smooth_red_sandstone_stairs	block.minecraft.smooth_red_sandstone_stairs
smooth_sandstone_stairs	block.minecraft.smooth_sandstone_stairs
smooth_stone	block.minecraft.smooth_stone
sniffer_egg	block.minecraft.sniffer_egg
snort_pottery_sherd	item.minecraft.snort_pottery_sherd
snow	block.minecraft.snow_block
snow_layer	block.minecraft.snow
snowball	item.minecraft.snowball
soul_campfire	block.minecraft.soul_campfire
soul_fire	block.minecraft.soul_fire
soul_lantern	block.minecraft.soul_lantern
soul_sand	block.minecraft.soul_sand
soul_soil	block.minecraft.soul_soil
soul_torch	block.minecraft.soul_torch
spawn_egg.entity.allay	item.minecraft.allay_spawn_egg
spawn_egg.entity.armadillo	item.minecraft.armadillo_spawn_egg
spawn_egg.entity.axolotl	item.minecraft.axolotl_spawn_egg
spawn_egg.entity.bat	item.minecraft.bat_spawn_egg
spawn_egg.entity.bee	item.minecraft.bee_spawn_egg
spawn_egg.entity.blaze	item.minecraft.blaze_spawn_egg
spawn_egg.entity.bogged	item.minecraft.bogged_spawn_egg
spawn_egg.entity.breeze	item.minecraft.breeze_spawn_egg
spawn_egg.entity.camel	item.minecraft.camel_spawn_egg
spawn_egg.entity.camel_husk	item.minecraft.camel_husk_spawn_egg
spawn_egg.entity.cat	item.minecraft.cat_spawn_egg
spawn_egg.entity.cave_spider	item.minecraft.cave_spider_spawn_egg
spawn_egg.entity.chicken	item.minecraft.chicken_spawn_egg
spawn_egg.entity.cod	item.minecraft.cod_spawn_egg
spawn_egg.entity.copper_golem	item.minecraft.copper_golem_spawn_egg
spawn_egg.entity.cow	item.minecraft.cow_spawn_egg
spawn_egg.entity.creaking	item.minecraft.creaking_spawn_egg
spawn_egg.entity.creeper	item.minecraft.creeper_spawn_egg
spawn_egg.entity.dolphin	item.minecraft.dolphin_spawn_egg
spawn_egg.entity.donkey	item.minecraft.donkey_spawn_egg
spawn_egg.entity.drowned	item.minecraft.drowned_spawn_egg
spawn_egg.entity.elder_guardian	item.minecraft.elder_guardian_spawn_egg
spawn_egg.entity.ender_dragon	item.minecraft.ender_dragon_spawn_egg
spawn_egg.entity.enderman	item.minecraft.enderman_spawn_egg
spawn_egg.entity.endermite	item.minecraft.endermite_spawn_egg
spawn_egg.entity.evocation_illager	item.minecraft.evoker_spawn_egg
spawn_egg.entity.fox	item.minecraft.fox_spawn_egg
spawn_egg.entity.frog	item.minecraft.frog_spawn_egg
spawn_egg.entity.ghast	item.minecraft.ghast_spawn_egg
spawn_egg.entity.glow_squid	item.minecraft.glow_squid_spawn_egg
spawn_egg.entity.goat	item.minecraft.goat_spawn_egg
spawn_egg.entity.guardian	item.minecraft.guardian_spawn_egg
spawn_egg.entity.happy_ghast	item.minecraft.happy_ghast_spawn_egg
spawn_egg.entity.hoglin	item.minecraft.hoglin_spawn_egg
spawn_egg.entity.horse	item.minecraft.horse_spawn_egg
spawn_egg.entity.husk	item.minecraft.husk_spawn_egg
spawn_egg.entity.iron_golem	item.minecraft.iron_golem_spawn_egg
spawn_egg.entity.llama	item.minecraft.llama_spawn_egg
spawn_egg.entity.magma_cube	item.minecraft.magma_cube_spawn_egg
spawn_egg.entity.mooshroom	item.minecraft.mooshroom_spawn_egg
spawn_egg.entity.mule	item.minecraft.mule_spawn_egg
spawn_egg.entity.nautilus	item.minecraft.nautilus_spawn_egg
spawn_egg.entity.ocelot	item.minecraft.ocelot_spawn_egg
spawn_egg.entity.panda	item.minecraft.panda_spawn_egg
spawn_egg.entity.parched	item.minecraft.parched_spawn_egg
spawn_egg.entity.parrot	item.minecraft.parrot_spawn_egg
spawn_egg.entity.phantom	item.minecraft.phantom_spawn_egg
spawn_egg.entity.pig	item.minecraft.pig_spawn_egg
spawn_egg.entity.piglin	item.minecraft.piglin_spawn_egg
spawn_egg.entity.piglin_brute	item.minecraft.piglin_brute_spawn_egg
spawn_egg.entity.pillager	item.minecraft.pillager_spawn_egg
spawn_egg.entity.polar_bear	item.minecraft.polar_bear_spawn_egg
spawn_egg.entity.pufferfish	item.minecraft.pufferfish_spawn_egg
spawn_egg.entity.rabbit	item.minecraft.rabbit_spawn_egg
spawn_egg.entity.ravager	item.minecraft.ravager_spawn_egg
spawn_egg.entity.salmon	item.minecraft.salmon_spawn_egg
spawn_egg.entity.sheep	item.minecraft.sheep_spawn_egg
spawn_egg.entity.shulker	item.minecraft.shulker_spawn_egg
spawn_egg.entity.silverfish	item.minecraft.silverfish_spawn_egg
spawn_egg.entity.skeleton	item.minecraft.skeleton_spawn_egg
spawn_egg.entity.skeleton_horse	item.minecraft.skeleton_horse_spawn_egg
spawn_egg.entity.slime	item.minecraft.slime_spawn_egg
spawn_egg.entity.sniffer	item.minecraft.sniffer_spawn_egg
spawn_egg.entity.snow_golem	item.minecraft.snow_golem_spawn_egg
spawn_egg.entity.spider	item.minecraft.spider_spawn_egg
spawn_egg.entity.squid	item.minecraft.squid_spawn_egg
spawn_egg.entity.stray	item.minecraft.stray_spawn_egg
spawn_egg.entity.strider	item.minecraft.strider_spawn_egg
spawn_egg.entity.sulfur_cube	item.minecraft.sulfur_cube_spawn_egg
spawn_egg.entity.tadpole	item.minecraft.tadpole_spawn_egg
spawn_egg.entity.trader_llama	item.minecraft.trader_llama_spawn_egg
spawn_egg.entity.tropicalfish	item.minecraft.tropical_fish_spawn_egg
spawn_egg.entity.turtle	item.minecraft.turtle_spawn_egg
spawn_egg.entity.vex	item.minecraft.vex_spawn_egg
spawn_egg.entity.vindicator	item.minecraft.vindicator_spawn_egg
spawn_egg.entity.wandering_trader	item.minecraft.wandering_trader_spawn_egg
spawn_egg.entity.warden	item.minecraft.warden_spawn_egg
spawn_egg.entity.witch	item.minecraft.witch_spawn_egg
spawn_egg.entity.wither	item.minecraft.wither_spawn_egg
spawn_egg.entity.wither_skeleton	item.minecraft.wither_skeleton_spawn_egg
spawn_egg.entity.wolf	item.minecraft.wolf_spawn_egg
spawn_egg.entity.zoglin	item.minecraft.zoglin_spawn_egg
spawn_egg.entity.zombie	item.minecraft.zombie_spawn_egg
spawn_egg.entity.zombie_horse	item.minecraft.zombie_horse_spawn_egg
spawn_egg.entity.zombie_nautilus	item.minecraft.zombie_nautilus_spawn_egg
spawn_egg.entity.zombie_pigman	item.minecraft.zombified_piglin_spawn_egg
speckled_melon	item.minecraft.glistering_melon_slice
spider_eye	item.minecraft.spider_eye
sponge.dry	block.minecraft.sponge
sponge.wet	block.minecraft.wet_sponge
spore_blossom	block.minecraft.spore_blossom
spruceFence	block.minecraft.spruce_fence
spruce_button	block.minecraft.spruce_button
spruce_door	block.minecraft.spruce_door
